,date,class
0,2010-03-04,0.0
1,2000-01-03,0.0
2,2005-06-07,0.0
3,2013-07-23,0.0
4,2007-03-28,0.0
5,2007-06-12,0.0
6,2015-10-13,0.0
7,2016-07-08,0.0
8,2003-03-11,0.0
9,2010-05-26,0.0
10,2014-06-19,0.0
11,2018-01-12,0.0
12,2009-05-18,0.0
13,2006-05-12,0.0
14,2004-05-27,0.0
15,2000-01-03,0.0
16,2002-11-27,0.0
17,2012-01-31,0.0
18,2017-06-05,0.0
19,2004-03-25,0.0
20,2018-03-02,0.0
21,2010-02-26,0.0
22,2005-11-11,0.0
23,2004-08-02,0.0
24,2007-10-02,0.0
25,2005-06-28,0.0
26,2002-07-18,0.0
27,2019-03-28,0.0
28,2012-11-22,0.0
29,2012-08-03,0.0
30,2014-06-02,0.0
31,2007-08-07,0.0
32,2000-01-03,0.0
33,2000-01-03,0.0
34,2000-01-03,0.0
35,2002-03-01,0.0
36,2002-03-20,0.0
37,2014-02-10,0.0
38,2014-07-04,0.0
39,2015-08-11,0.0
40,2007-11-29,0.0
41,2018-01-18,0.0
42,2014-11-12,0.0
43,2012-01-23,0.0
44,2009-10-01,0.0
45,2005-09-30,0.0
46,2000-01-03,0.0
47,2001-09-28,0.0
48,2005-01-27,0.0
49,2015-11-25,0.0
50,2006-03-13,0.0
51,2009-02-19,0.0
52,2003-08-04,0.0
53,2000-01-03,0.0
54,2001-11-23,0.0
55,2015-03-30,0.0
56,2007-06-11,0.0
57,2007-05-10,0.0
58,2005-12-23,0.0
59,2016-05-25,0.0
60,2003-09-24,0.0
61,2012-12-17,0.0
62,2016-07-08,0.0
63,2003-09-26,0.0
64,2017-07-10,0.0
65,2010-04-29,0.0
66,2005-08-18,0.0
67,2013-05-15,0.0
68,2008-04-17,0.0
69,2007-08-10,0.0
70,2014-12-01,0.0
71,2007-03-14,0.0
72,2008-05-28,0.0
73,2004-06-29,0.0
74,2000-01-03,0.0
75,2007-03-05,0.0
76,2014-07-10,0.0
77,2018-07-19,0.0
78,2004-09-27,0.0
79,2011-12-19,0.0
80,2014-09-08,0.0
81,2012-08-31,0.0
82,2016-12-13,0.0
83,2007-06-07,0.0
84,2007-03-14,0.0
85,2007-09-06,0.0
86,2001-03-26,0.0
87,2000-11-21,0.0
88,2007-07-26,0.0
89,2012-12-06,0.0
90,2012-05-07,0.0
91,2017-12-29,0.0
92,2004-05-27,0.0
93,2017-09-06,0.0
94,2004-04-08,0.0
95,2004-11-25,0.0
96,2000-01-03,0.0
97,2008-08-26,0.0
98,2016-07-04,0.0
99,2012-09-17,0.0
100,2000-08-25,0.0
105,2013-01-31,1.0
106,2013-03-22,1.0
107,2007-02-16,1.0
108,2000-06-07,1.0
109,2007-02-13,1.0
110,2002-09-13,1.0
111,2001-10-15,1.0
112,2006-06-27,1.0
113,2005-03-30,1.0
114,2000-06-01,1.0
115,2013-03-11,1.0
116,2003-10-06,1.0
117,2001-10-18,1.0
118,2011-05-27,1.0
119,2009-06-24,1.0
120,2002-02-06,1.0
122,2006-08-22,1.0
123,2004-12-30,1.0
124,2005-01-07,1.0
125,2009-06-17,1.0
126,2010-01-26,1.0
127,2002-01-25,1.0
128,2004-10-05,1.0
129,2002-09-23,1.0
130,2006-06-19,1.0
131,2014-12-12,1.0
132,2012-08-20,1.0
133,2012-08-14,1.0
134,2013-07-03,1.0
135,2002-01-23,1.0
136,2004-01-12,1.0
137,2002-01-25,1.0
138,2002-09-27,1.0
139,2013-01-31,1.0
140,2005-03-31,1.0
141,2009-07-29,1.0
142,2002-09-23,1.0
143,2003-07-24,1.0
144,2005-04-11,1.0
145,2002-09-10,1.0
146,2005-01-10,1.0
147,2013-03-20,1.0
148,2002-01-29,1.0
149,2013-01-23,1.0
150,2012-08-17,1.0
151,2012-08-16,1.0
152,2000-06-13,1.0
153,2005-03-30,1.0
154,2005-01-05,1.0
155,2004-12-21,1.0
156,2004-12-30,1.0
157,2002-01-28,1.0
158,2002-09-05,1.0
159,2005-03-23,1.0
160,2013-01-31,1.0
161,2002-01-29,1.0
162,2013-01-28,1.0
163,2002-09-10,1.0
164,2007-02-15,1.0
165,2002-09-11,1.0
166,2002-02-05,1.0
167,2004-03-10,1.0
168,2002-09-10,1.0
169,2005-01-03,1.0
170,2005-01-12,1.0
171,2003-10-08,1.0
172,2001-10-22,1.0
173,2004-12-30,1.0
174,2004-12-30,1.0
175,2002-09-13,1.0
176,2013-03-28,1.0
177,2002-09-20,1.0
178,2002-02-04,1.0
179,2009-06-11,1.0
180,2003-10-31,1.0
181,2002-01-29,1.0
182,2005-04-05,1.0
183,2013-01-30,1.0
184,2013-04-04,1.0
185,2004-03-08,1.0
186,2019-01-16,1.0
187,2004-03-12,1.0
188,2002-09-19,1.0
189,2005-02-24,1.0
190,2000-06-12,1.0
191,2008-03-31,1.0
192,2002-09-13,1.0
193,2005-01-03,1.0
194,2004-10-04,1.0
195,2002-09-04,1.0
196,2000-08-08,1.0
197,2013-03-15,1.0
198,2009-06-19,1.0
199,2002-09-25,1.0
200,2003-10-07,1.0
201,2007-02-28,1.0
