,date,class
1,2003-01-07,1.0
2,2015-02-12,0.0
3,2001-02-22,0.0
5,2014-05-05,0.0
6,2014-07-22,0.0
7,2011-01-11,0.0
8,2011-05-09,0.0
9,2011-09-01,0.0
10,2002-05-22,0.0
11,2017-09-06,0.0
12,2000-08-25,0.0
13,2010-03-29,0.0
14,2013-06-04,0.0
15,2010-06-01,0.0
16,2016-06-17,0.0
17,2005-06-23,0.0
18,2013-04-10,0.0
19,2002-12-10,0.0
20,2012-05-07,0.0
22,2014-10-17,0.0
23,2008-11-24,0.0
24,2016-10-14,0.0
25,2001-05-03,0.0
26,2002-07-08,0.0
27,2019-04-25,0.0
28,2000-12-12,0.0
29,2002-01-10,0.0
30,2003-01-13,0.0
31,2005-09-23,0.0
32,2018-12-28,0.0
33,2012-02-23,0.0
34,2000-02-01,0.0
35,2013-05-02,0.0
36,2011-01-24,0.0
37,2008-08-04,0.0
38,2012-09-19,0.0
39,2003-04-07,0.0
40,2018-05-17,0.0
41,2011-04-27,0.0
42,2005-09-21,0.0
43,2014-04-02,0.0
44,2009-02-04,0.0
45,2008-08-19,0.0
46,2011-04-28,0.0
47,2005-08-11,0.0
48,2014-05-12,0.0
49,2007-07-18,0.0
50,2007-09-03,0.0
51,2002-12-23,0.0
52,2001-11-06,0.0
53,2016-03-30,0.0
54,2003-05-08,0.0
55,2002-02-27,0.0
56,2003-09-24,0.0
57,2013-01-02,0.0
58,2007-11-27,0.0
59,2017-09-06,0.0
60,2005-11-30,0.0
61,2004-09-10,0.0
62,2013-01-31,1.0
63,2010-01-22,0.0
64,2013-03-22,1.0
65,2017-06-13,0.0
66,2011-12-09,0.0
67,2016-05-13,0.0
68,2016-09-21,0.0
69,2004-02-16,0.0
70,2001-09-19,0.0
71,2012-08-17,0.0
72,2008-10-23,0.0
73,2004-08-11,0.0
74,2016-07-08,0.0
75,2015-08-19,0.0
76,2002-11-26,0.0
77,2017-09-08,0.0
78,2004-08-26,0.0
79,2018-02-13,0.0
80,2013-09-23,0.0
81,2016-09-06,0.0
82,2001-05-16,0.0
83,2018-12-03,0.0
84,2011-07-18,0.0
85,2014-12-01,0.0
86,2015-10-16,0.0
87,2001-03-26,0.0
88,2001-09-24,0.0
89,2003-05-02,0.0
90,2003-06-20,0.0
91,2010-03-25,0.0
92,2015-02-10,0.0
93,2006-05-24,0.0
94,2003-09-16,0.0
95,2011-04-15,0.0
96,2017-03-31,0.0
97,2007-07-12,0.0
98,2000-06-22,0.0
99,2004-10-15,0.0
100,2003-09-24,0.0
101,2007-12-06,0.0
102,2002-06-05,0.0
103,2007-01-24,0.0
104,2009-02-18,0.0
105,2007-04-11,0.0
106,2017-03-24,0.0
107,2017-07-13,0.0
108,2016-04-28,0.0
109,2014-10-03,0.0
110,2014-02-06,0.0
111,2002-07-05,0.0
112,2009-10-16,0.0
113,2018-01-18,0.0
114,2009-01-27,0.0
115,2005-09-14,0.0
116,2008-08-06,0.0
117,2010-05-27,0.0
118,2004-03-31,0.0
119,2006-10-30,0.0
120,2002-11-06,0.0
121,2001-01-15,0.0
122,2011-08-15,0.0
123,2007-09-03,0.0
124,2009-11-18,0.0
125,2013-05-15,0.0
126,2004-12-02,0.0
127,2000-08-03,0.0
128,2004-12-10,0.0
129,2010-01-12,0.0
130,2017-03-07,0.0
131,2008-03-05,0.0
132,2009-02-17,0.0
133,2007-11-29,0.0
134,2007-02-16,1.0
135,2016-03-31,0.0
136,2007-08-16,0.0
137,2003-11-25,0.0
138,2000-06-07,1.0
139,2003-09-26,0.0
140,2010-10-19,0.0
141,2009-09-01,0.0
142,2018-09-14,0.0
143,2012-05-09,0.0
144,2011-03-03,0.0
145,2016-01-07,0.0
146,2007-02-13,1.0
147,2001-03-14,0.0
148,2018-01-29,0.0
149,2005-04-26,0.0
150,2015-03-18,0.0
151,2012-01-18,0.0
152,2002-09-13,1.0
153,2002-10-31,0.0
154,2001-10-15,1.0
155,2015-01-09,0.0
156,2003-07-14,0.0
157,2004-01-21,0.0
158,2006-06-27,1.0
159,2005-03-30,1.0
160,2017-05-24,0.0
161,2002-11-28,0.0
162,2016-06-15,0.0
163,2003-12-16,0.0
164,2010-03-26,0.0
165,2006-05-12,0.0
166,2003-02-07,0.0
167,2003-06-19,0.0
168,2006-06-30,0.0
169,2012-08-14,0.0
170,2002-05-27,0.0
171,2006-10-04,0.0
172,2010-02-26,0.0
173,2011-07-13,0.0
174,2016-03-04,0.0
175,2007-07-05,0.0
176,2013-10-10,0.0
177,2000-02-24,0.0
178,2000-07-17,0.0
179,2015-11-09,0.0
180,2015-10-23,0.0
181,2005-11-04,0.0
182,2009-12-18,0.0
183,2013-08-12,0.0
184,2011-11-03,0.0
185,2012-07-18,0.0
186,2014-04-16,0.0
187,2002-08-21,0.0
188,2015-08-03,0.0
189,2007-08-23,0.0
190,2004-04-06,0.0
191,2012-11-19,0.0
192,2006-10-24,0.0
193,2005-11-15,0.0
194,2014-09-25,0.0
195,2017-08-15,0.0
196,2014-01-17,0.0
197,2000-12-15,0.0
198,2010-04-20,0.0
199,2002-10-02,0.0
200,2002-03-20,0.0
201,2013-06-27,0.0
202,2019-03-20,0.0
203,2006-03-13,0.0
204,2008-12-30,0.0
205,2009-07-13,0.0
206,2004-10-28,0.0
207,2016-04-20,0.0
208,2014-06-30,0.0
209,2001-08-22,0.0
210,2016-08-11,0.0
211,2008-03-03,0.0
212,2017-12-11,0.0
213,2005-10-13,0.0
214,2007-08-07,0.0
215,2004-11-15,0.0
216,2000-06-01,1.0
217,2011-12-15,0.0
218,2014-12-03,0.0
219,2013-12-05,0.0
220,2006-01-09,0.0
221,2001-09-24,0.0
222,2014-07-02,0.0
223,2005-04-20,0.0
224,2013-03-11,1.0
225,2013-11-05,0.0
226,2009-07-20,0.0
227,2005-02-02,0.0
228,2004-01-21,0.0
229,2001-03-21,0.0
230,2003-10-06,1.0
231,2009-05-05,0.0
232,2000-02-22,0.0
233,2016-09-06,0.0
234,2013-11-28,0.0
235,2014-06-27,0.0
236,2013-06-28,0.0
237,2013-08-07,0.0
238,2010-07-15,0.0
239,2003-08-18,0.0
240,2007-11-07,0.0
241,2008-10-16,0.0
242,2009-04-09,0.0
243,2001-11-21,0.0
244,2013-06-28,0.0
245,2004-08-24,0.0
246,2010-07-16,0.0
247,2004-06-29,0.0
248,2001-10-18,1.0
249,2013-05-15,0.0
250,2008-08-19,0.0
251,2017-06-13,0.0
252,2018-08-31,0.0
253,2016-05-24,0.0
254,2015-06-02,0.0
255,2017-03-01,0.0
256,2003-06-02,0.0
257,2011-06-15,0.0
258,2005-08-16,0.0
259,2010-08-16,0.0
260,2000-11-20,0.0
261,2015-02-17,0.0
262,2011-05-27,1.0
263,2011-07-20,0.0
264,2012-02-10,0.0
265,2007-07-10,0.0
266,2001-12-13,0.0
267,2008-01-21,0.0
268,2003-12-19,0.0
269,2003-06-19,0.0
270,2016-09-12,0.0
271,2008-06-20,0.0
272,2009-06-24,1.0
273,2003-06-02,0.0
274,2007-12-10,0.0
275,2004-09-23,0.0
276,2002-02-06,1.0
277,2017-08-23,0.0
278,2011-10-10,0.0
279,2014-02-26,0.0
280,2015-03-06,0.0
281,2005-01-24,0.0
282,2008-04-17,0.0
283,2002-07-15,0.0
284,2016-06-02,0.0
285,2014-11-18,0.0
286,2001-03-29,0.0
287,2015-03-30,0.0
288,2003-12-29,1.0
289,2006-10-02,0.0
290,2017-05-12,0.0
291,2010-07-26,0.0
292,2016-09-02,0.0
293,2016-09-09,0.0
